Player,Nationality,Team,League,Position,General Position,Age,Minutes,Matches,Offensive Index,Passing Index,Possession Index,Defensive Index
Adryelson,BRA,Lyon,French Ligue 1,CB,Defender,25,6,1,29,16,9,23
Adson,BRA,Nantes,French Ligue 1,AM,Forward,23,238,1,29,64,86,66
Adu Ares,ESP,Athletic Club,Spanish La Liga,RW,Forward,22,265,1,22,19,82,59
Agustín Doffo,ARG,Olimpija,UEFA Europa Conference League,CM,Midfielder,28,434,1,33,32,29,75
Agustín Martegani,ARG,Salernitana,Italian Serie A,CM,Midfielder,23,731,1,74,34,66,38
Ahmed Touba,ALG,Lecce,Italian Serie A,CB,Defender,25,277,1,31,17,19,69
Ahmet Muhamedbegovic,AUT,Olimpija,UEFA Europa Conference League,CB,Defender,25,540,1,31,53,37,47
Ahmetcan Kaplan,TUR,Ajax,UEFA Europa Conference League,CB,Defender,21,128,1,29,24,12,48
Aiham Ousou,SYR,"Cádiz, Häcken","Spanish La Liga, UEFA Europa League",CB,Defender,24,865,1,42,46,55,55
Aihen Muñoz,ESP,Real Sociedad,"Spanish La Liga, UEFA Champions League",LB,Defender,26,1601,1,46,71,71,65
Aimar Oroz,ESP,Osasuna,Spanish La Liga,LM,Midfielder,22,2339,1,51,53,69,36
Aingeru Olabarrieta,ESP,Athletic Club,Spanish La Liga,RW,Forward,18,9,1,41,13,37,11
Ainsley Maitland-Niles,ENG,Lyon,French Ligue 1,RB,Defender,26,1432,1,64,84,79,46
Aitor Cantalapiedra,ESP,Panathinaikos,UEFA Europa League,LW,Forward,27,230,1,35,72,68,33
Aitor Paredes,ESP,Athletic Club,Spanish La Liga,CB,Defender,24,2704,1,51,32,28,42
Aitor Ruibal,ESP,Betis,"Spanish La Liga, UEFA Europa Conference League, UEFA Europa League",RB,Defender,28,1540,1,90,81,81,51
Akim Zedadka,ALG,Lille,UEFA Europa Conference League,RB,Defender,28,90,1,30,76,96,80
Akor Adams,NGA,Montpellier,French Ligue 1,AM,Forward,24,2252,1,48,32,34,44
Alan Matturro,URU,Genoa,Italian Serie A,CB,Defender,19,106,1,32,25,39,69
Alan Varela,ARG,Porto,UEFA Champions League,CM,Midfielder,22,705,1,32,43,24,32
Alan Virginius,FRA,"Clermont Foot, Lille","French Ligue 1, UEFA Europa Conference League",AM,Forward,21,1090,1,28,64,55,43
Alassane Pléa,FRA,Gladbach,German Bundesliga,AM,Forward,31,1913,1,65,81,63,41
Albert Grønbaek,DEN,Bodø/Glimt,UEFA Europa Conference League,LM,Midfielder,22,668,1,75,65,85,22
Albert Guðmundsson,ISL,Genoa,Italian Serie A,AM,Forward,26,3016,1,69,74,54,33
Albert Sambi Lokonga,BEL,Luton Town,English Premier League,CM,Midfielder,24,1303,1,56,50,52,66
Alberto Cerri,ITA,Empoli,Italian Serie A,AM,Forward,28,545,1,37,33,20,70
Alberto Dadie,ESP,Real Sociedad,Spanish La Liga,RM,Midfielder,21,28,1,44,41,7,42
Alberto Dossena,ITA,Cagliari,Italian Serie A,CB,Defender,25,2977,1,63,51,29,71
Alberto Grassi,ITA,Empoli,Italian Serie A,CM,Midfielder,29,1807,1,29,41,24,57
Alberto Marí,ESP,Valencia,Spanish La Liga,AM,Forward,22,276,1,48,66,33,56
Alberto Moleiro,ESP,Las Palmas,Spanish La Liga,LW,Forward,20,1803,1,53,70,84,33
Alberto Moreno,ESP,Villarreal,"Spanish La Liga, UEFA Europa League",LB,Defender,31,1764,1,87,82,73,41
Alberto Perea,ESP,Granada,Spanish La Liga,AM,Forward,32,2,1,47,53,36,11
Alberto Risco,ESP,Getafe,Spanish La Liga,AM,Midfielder,18,137,1,54,65,68,21
Alberto Soro,ESP,Granada,Spanish La Liga,LM,Midfielder,24,8,1,33,21,7,6
Albian Hajdari,SUI,Lugano,UEFA Europa Conference League,LB,Defender,20,328,1,51,68,56,73
Albin Berisha,KVX,KF Ballkani Therandë,UEFA Europa Conference League,AM,Forward,22,400,1,26,24,31,36
Aldin Hrvanović,BIH,Zrinjski Mostar,UEFA Europa Conference League,LW,Forward,25,236,1,44,13,14,80
Aleix García,ESP,Girona,Spanish La Liga,DM,Midfielder,26,3199,1,73,80,54,44
Alejandro Artunduaga,COL,Sheriff Tiraspol,UEFA Europa League,LB,Defender,26,496,1,30,22,60,60
Alejandro Balde,ESP,Barcelona,"Spanish La Liga, UEFA Champions League",LB,Defender,20,1709,1,49,71,90,32
Alejandro Garnacho,ARG,Manchester Utd,"English Premier League, UEFA Champions League",LW,Forward,19,2866,1,62,52,81,50
Alejandro Jiménez,ESP,Milan,Italian Serie A,LB,Defender,18,68,1,48,56,57,34
Alejandro Pozo Pozo,ESP,Almería,Spanish La Liga,RB,Defender,25,976,1,53,73,68,39
Alejo Véliz,ARG,"Sevilla, Tottenham","English Premier League, Spanish La Liga",AM,Forward,20,85,1,81,15,23,47
Aleksa Amanović,MKD,Astana FK,UEFA Europa Conference League,CB,Defender,27,360,1,43,38,52,48
Aleksa Janković,SRB,Čukarički,UEFA Europa Conference League,RW,Forward,23,58,1,25,16,49,13
Aleksa Terzić,SRB,RB Salzburg,UEFA Champions League,LB,Defender,24,180,1,52,68,66,35
Aleksandar Borković,AUT,Sturm Graz,UEFA Europa League,CB,Defender,24,71,1,29,17,10,43
Aleksandar Dragović,AUT,Red Star,UEFA Champions League,CB,Defender,32,540,1,35,42,26,36
Aleksandar Katai,SRB,Red Star,UEFA Champions League,CM,Midfielder,32,79,1,88,64,73,63
Aleksandar Mitrović,SRB,Fulham,English Premier League,AM,Forward,28,33,1,52,40,30,37
Aleksandar Pavlovic,GER,Bayern Munich,"German Bundesliga, UEFA Champions League",DM,Midfielder,20,1434,1,67,71,52,54
Aleksandar Pešić,SRB,Ferencváros,UEFA Europa Conference League,AM,Forward,31,334,1,74,22,28,42
Aleksandar Radovanović,SRB,Almería,Spanish La Liga,CB,Defender,30,569,1,31,18,12,74
Aleksandar Sedlar,SRB,Alavés,Spanish La Liga,CB,Defender,31,946,1,65,25,35,55
Aleksandar Ćirković,SRB,TSC,UEFA Europa League,AM,Forward,22,223,1,72,39,51,57
Aleksandar Čavrić,SRB,Slovan Bratislava,UEFA Europa Conference League,AM,Forward,29,468,1,81,61,51,46
Aleksandr Golovin,RUS,Monaco,French Ligue 1,AM,Forward,27,2147,1,67,89,62,71
Aleksandr Kokorin,RUS,Aris Limassol FC,UEFA Europa League,AM,Forward,32,288,1,72,74,45,53
Aleksandr Marochkin,KAZ,Astana FK,UEFA Europa Conference League,CB,Defender,33,450,1,41,27,13,77
Aleksei Isayev,AZE,Qarabağ,UEFA Europa League,AM,Forward,28,6,1,22,31,26,11
Aleksei Miranchuk,RUS,Atalanta,"Italian Serie A, UEFA Europa League",AM,Forward,28,1588,1,59,93,70,43
Aleksi Paananen,FIN,HJK,UEFA Europa Conference League,CM,Midfielder,30,26,1,51,30,55,49
Alessandro Bastoni,ITA,Inter,"Italian Serie A, UEFA Champions League",CB,Defender,25,2768,1,67,86,76,56
Alessandro Buongiorno,ITA,Torino,Italian Serie A,CB,Defender,24,2527,1,70,32,28,73
Alessandro Deiola,ITA,Cagliari,Italian Serie A,CM,Midfielder,28,1608,1,43,30,23,53
Alessandro Dellavalle,ITA,Torino,Italian Serie A,CB,Defender,20,15,1,48,33,18,51
Alessandro Di Pardo,ITA,Cagliari,Italian Serie A,RB,Midfielder,24,359,1,35,45,38,45
Alessandro Florenzi,ITA,Milan,"Italian Serie A, UEFA Champions League, UEFA Europa League",RB,Defender,33,2114,1,69,93,62,40
Alessandro Vogliacco,ITA,Genoa,Italian Serie A,CB,Defender,25,1169,1,41,65,48,69
Alessandro Zanoli,ITA,"Napoli, Salernitana","Italian Serie A, UEFA Champions League",LB,Defender,23,977,1,51,72,77,41
Alessio Castro-Montes,BEL,Union SG,"UEFA Europa Conference League, UEFA Europa League",WB,Midfielder,26,825,1,41,54,65,78
Alessio Romagnoli,ITA,Lazio,"Italian Serie A, UEFA Champions League",CB,Defender,29,2951,1,35,45,18,53
Alessio Zerbin,ITA,"Monza, Napoli",Italian Serie A,LB,Forward,25,834,1,37,68,63,56
Alex Baena,ESP,Villarreal,"Spanish La Liga, UEFA Europa League",LM,Midfielder,22,2991,1,68,90,79,27
Alex Iwobi,NGA,"Everton, Fulham",English Premier League,LM,Forward,28,2332,1,57,79,79,54
Alex Král,CZE,Union Berlin,"German Bundesliga, UEFA Champions League",CM,Midfielder,25,1621,1,48,37,41,53
Alex Matos,ENG,Chelsea,English Premier League,AM,Forward,18,1,1,22,13,6,11
Alex Moucketou,GAB,Aris Limassol FC,UEFA Europa League,CB,Defender,23,366,1,71,17,28,66
Alex Murphy,IRL,Newcastle Utd,English Premier League,LB,Defender,19,13,1,29,34,20,65
Alex Oxlade-Chamberlain,ENG,Beşiktaş,UEFA Europa Conference League,AM,Midfielder,30,386,1,45,54,54,51
Alex Sandro,BRA,Juventus,Italian Serie A,CB,Defender,33,721,1,78,72,59,55
Alex Scott,ENG,Bournemouth,English Premier League,AM,Midfielder,20,1014,1,76,65,67,60
Alex Sola,ESP,"Alavés, Real Sociedad",Spanish La Liga,RB,Defender,24,1292,1,55,81,90,43
Alexander Bah,DEN,Benfica,"UEFA Champions League, UEFA Europa League",RB,Defender,26,696,1,51,63,80,82
Alexander Djiku,GHA,Fenerbahçe,UEFA Europa Conference League,CB,Defender,29,585,1,24,30,40,85
Alexander Isak,SWE,Newcastle Utd,"English Premier League, UEFA Champions League",AM,Forward,24,2567,1,76,52,59,28
Alexander Prass,AUT,Sturm Graz,"UEFA Europa Conference League, UEFA Europa League",LM,Midfielder,22,723,1,69,51,70,48
Alexander Sigurðarson,ISL,Breiðablik,UEFA Europa Conference League,CM,Midfielder,27,235,1,43,78,57,50
Alexander Sørloth,NOR,Villarreal,"Spanish La Liga, UEFA Europa League",AM,Forward,28,2855,1,82,55,48,47
Alexandre Lacazette,FRA,Lyon,French Ligue 1,AM,Forward,32,2293,1,78,49,37,51
Alexandre Penetra,POR,AZ Alkmaar,UEFA Europa Conference League,CB,Defender,22,363,1,20,22,14,47
Alexis Antunes,SUI,Servette FC,"UEFA Europa Conference League, UEFA Europa League",AM,Midfielder,23,475,1,42,22,69,73
Alexis Blin,FRA,Lecce,Italian Serie A,CM,Midfielder,27,1642,1,30,38,20,52
Alexis Claude-Maurice,FRA,Nice,French Ligue 1,LM,Midfielder,25,504,1,45,56,81,37
Alexis Mac Allister,ARG,Liverpool,"English Premier League, UEFA Europa League",CM,Midfielder,25,3008,1,77,85,52,71
Alexis Saelemaekers,BEL,Bologna,Italian Serie A,LW,Forward,24,1887,1,58,75,70,69
Alexis Sánchez,CHI,Inter,"Italian Serie A, UEFA Champions League",AM,Forward,35,1098,1,58,90,53,59
Alexsandro Ribeiro,BRA,Lille,"French Ligue 1, UEFA Europa Conference League",CB,Defender,24,2695,1,33,49,43,62
Alfie Doughty,ENG,Luton Town,English Premier League,WB,Midfielder,24,2925,1,71,75,75,61
Alfie Gilchrist,ENG,Chelsea,English Premier League,RB,Defender,20,207,1,87,32,47,28
Alfonso Espino,URU,Rayo Vallecano,Spanish La Liga,LB,Defender,32,2507,1,49,77,70,49
Alfonso Pedraza,ESP,Villarreal,"Spanish La Liga, UEFA Europa League",LB,Defender,28,1287,1,84,79,86,31
Alfred Duncan,GHA,Fiorentina,"Italian Serie A, UEFA Europa Conference League",DM,Midfielder,31,2230,1,70,81,53,44
Alhassan Yusuf,NGA,Antwerp,UEFA Champions League,DM,Midfielder,23,380,1,76,62,57,51
Ali Mohamed,NIG,Maccabi Haifa,"UEFA Europa Conference League, UEFA Europa League",CM,Midfielder,28,485,1,34,54,53,37
Ali Youssef,TUN,Häcken,UEFA Europa League,AM,Forward,23,93,1,28,14,31,11
Alidu Seidu,GHA,"Clermont Foot, Rennes","French Ligue 1, UEFA Europa League",CB,Defender,23,1782,1,39,49,66,76
Alieu Fadera,GAM,Genk,UEFA Europa Conference League,LW,Forward,22,142,1,36,32,68,77
Aliou Badara Baldé,GUI,Nice,French Ligue 1,RW,Forward,21,69,1,54,20,85,71
Alireza Jahanbakhsh,IRN,Feyenoord,"UEFA Champions League, UEFA Europa League",CM,Forward,30,75,1,95,85,74,75
Alistair Johnston,CAN,Celtic,UEFA Champions League,RB,Defender,25,540,1,31,58,65,56
Aljaž Krefl,SVN,Olimpija,UEFA Europa Conference League,LB,Defender,29,130,1,49,40,69,19
Aljoscha Kemlein,GER,Union Berlin,"German Bundesliga, UEFA Champions League",CM,Midfielder,19,37,1,36,18,36,11
Allan Arigoni,SUI,Lugano,UEFA Europa Conference League,LB,Defender,25,427,1,45,70,79,35
Almir Kryeziu,KVX,KF Ballkani Therandë,UEFA Europa Conference League,LW,Forward,25,267,1,83,54,85,60
Almoatasem Al Musrati,LBY,Braga,UEFA Champions League,DM,Midfielder,27,309,1,40,49,34,64
Alois Confais,FRA,Le Havre,French Ligue 1,AM,Forward,27,7,1,22,13,6,53
Alphadjo Cissè,ITA,Hellas Verona,Italian Serie A,LW,Forward,17,8,1,22,13,6,11
Alphonso Davies,CAN,Bayern Munich,"German Bundesliga, UEFA Champions League",LB,Defender,23,2771,1,84,86,94,45
Amad Diallo,CIV,Manchester Utd,English Premier League,RW,Forward,21,390,1,70,60,69,54
Amadou Dante,MLI,Sturm Graz,UEFA Europa League,LB,Defender,23,275,1,33,46,51,76
Amadou Diallo,ENG,Newcastle Utd,English Premier League,RM,Midfielder,20,1,1,27,12,7,6
Amadou Haidara,MLI,RB Leipzig,"German Bundesliga, UEFA Champions League",DM,Midfielder,26,1792,1,74,67,34,79
Amadou Koné,MLI,Reims,French Ligue 1,CM,Midfielder,19,475,1,28,30,30,79
Amadou Onana,BEL,Everton,English Premier League,CM,Midfielder,22,2091,1,60,46,43,72
Amady Camara,MLI,Sturm Graz,UEFA Europa Conference League,AM,Forward,18,87,1,96,71,80,13
Amahl Pellegrino,NOR,Bodø/Glimt,UEFA Europa Conference League,LW,Forward,33,514,1,68,77,56,36
Amankwah Forson,GHA,RB Salzburg,UEFA Champions League,LW,Forward,20,68,1,21,67,54,52
Amar Dedić,BIH,RB Salzburg,UEFA Champions League,RB,Defender,21,540,1,47,52,87,38
Amari'i Bell,JAM,Luton Town,English Premier League,CB,Defender,29,1720,1,42,49,60,64
Amath,SEN,Mallorca,Spanish La Liga,AM,Midfielder,27,394,1,47,45,82,53
Ameen Al-Dakhil,BEL,Burnley,English Premier League,CB,Defender,21,1056,1,55,46,44,26
Amin Sarr,SWE,"Lyon, Wolfsburg","French Ligue 1, German Bundesliga",AM,Forward,23,484,1,25,41,36,60
Amine Adli,MAR,Leverkusen,"German Bundesliga, UEFA Europa League",AM,Forward,24,1877,1,64,81,73,73
Amine Gouiri,ALG,Rennes,"French Ligue 1, UEFA Europa League",AM,Forward,24,2394,1,71,62,73,56
Amine Harit,MAR,Marseille,"French Ligue 1, UEFA Europa League",AM,Midfielder,26,2983,1,59,86,89,29
Amine Messoussa,FRA,Lille,UEFA Europa Conference League,AM,Forward,18,64,1,25,13,26,11
Amine Salama,FRA,Reims,French Ligue 1,AM,Forward,23,313,1,21,41,72,36
Amine Talal,MAR,Sheriff Tiraspol,UEFA Europa League,CM,Midfielder,27,539,1,39,40,23,69
Amir Hadžiahmetović,BIH,Beşiktaş,UEFA Europa Conference League,DM,Midfielder,26,477,1,44,73,46,65
Amir Richardson,MAR,Reims,French Ligue 1,CM,Midfielder,22,1352,1,75,51,56,71
Amir Rrahmani,KVX,Napoli,"Italian Serie A, UEFA Champions League",CB,Defender,30,3152,1,79,48,46,55
Amor Layouni,TUN,Häcken,UEFA Europa League,RW,Forward,31,421,1,30,63,69,67
Amos Pieper,GER,Werder Bremen,German Bundesliga,CB,Defender,26,590,1,36,58,28,82
Amourrichio Van Axel Dongen,NED,Ajax,UEFA Europa League,RW,Forward,19,7,1,22,13,39,11
Anan Khalaili,ISR,Maccabi Haifa,"UEFA Europa Conference League, UEFA Europa League",RW,Forward,19,545,1,65,46,64,61
Anass Salah-Eddine,NED,Ajax,UEFA Europa League,AM,Forward,21,1,1,22,13,6,11
Anass Zaroury,MAR,Burnley,English Premier League,LM,Forward,23,152,1,26,44,39,14
Anastasios Douvikas,GRE,Celta Vigo,Spanish La Liga,AM,Forward,24,905,1,77,43,33,62
Ander Barrenetxea,ESP,Real Sociedad,"Spanish La Liga, UEFA Champions League",LW,Forward,22,1824,1,61,59,82,67
Ander Guevara,ESP,Alavés,Spanish La Liga,DM,Midfielder,26,2932,1,51,46,51,50
Ander Herrera,ESP,Athletic Club,Spanish La Liga,DM,Midfielder,34,1030,1,38,84,48,77
Anders Hagelskjær,DEN,Molde,"UEFA Europa Conference League, UEFA Europa League",CB,Defender,27,720,1,40,21,40,54
Anderson Esiti,NGA,Ferencváros,UEFA Europa Conference League,DM,Midfielder,29,91,1,28,12,18,77
Andi Zeqiri,SUI,Genk,UEFA Europa Conference League,AM,Forward,24,280,1,42,21,17,41
Andoni Gorosabel,ESP,Alavés,Spanish La Liga,RB,Defender,27,2854,1,73,65,74,44
Andraž Šporar,SVN,Panathinaikos,UEFA Europa League,AM,Forward,29,137,1,79,18,26,35
Andre Brooks,ENG,Sheffield Utd,English Premier League,CM,Midfielder,20,938,1,30,25,49,60
Andre-Frank Zambo Anguissa,CMR,Napoli,"Italian Serie A, UEFA Champions League",RM,Midfielder,28,3413,1,48,64,63,54
Andrea Belotti,ITA,"Fiorentina, Roma","Italian Serie A, UEFA Europa Conference League, UEFA Europa League",AM,Forward,30,2376,1,62,42,37,57
Andrea Cambiaso,ITA,Juventus,Italian Serie A,WB,Midfielder,24,2372,1,66,63,79,46
Andrea Carboni,ITA,Monza,Italian Serie A,CB,Defender,23,1487,1,62,44,49,59
Andrea Colpani,ITA,Monza,Italian Serie A,AM,Forward,25,2657,1,66,74,61,50
Andrea Ferraris,ITA,Monza,Italian Serie A,AM,Forward,21,10,1,27,43,10,53
Andrea Petagna,ITA,Cagliari,Italian Serie A,AM,Forward,28,995,1,42,48,35,48
Andrea Pinamonti,ITA,Sassuolo,Italian Serie A,AM,Forward,25,3076,1,53,34,23,42
Andrea Sodero,ITA,Empoli,Italian Serie A,LM,Midfielder,19,5,1,27,12,35,6
Andreas Christensen,DEN,Barcelona,"Spanish La Liga, UEFA Champions League",CB,Defender,28,2418,1,74,56,52,54
Andreas Cornelius,DEN,FC Copenhagen,UEFA Champions League,AM,Forward,30,82,1,38,37,18,69
Andreas Hanche-Olsen,NOR,Mainz 05,German Bundesliga,CB,Defender,27,992,1,60,26,13,62
Andreas Müller,GER,Darmstadt 98,German Bundesliga,CM,Midfielder,23,349,1,31,19,24,74
Andreas Ntoi,GRE,Olympiacos,"UEFA Europa Conference League, UEFA Europa League",CB,Defender,21,459,1,33,22,37,50
Andreas Pereira,BRA,Fulham,English Premier League,AM,Forward,28,2613,1,47,81,46,37
Andreas Schjelderup,NOR,Nordsjælland,UEFA Europa Conference League,LW,Forward,19,366,1,52,84,80,56
Andreas Skov Olsen,DEN,Club Brugge,UEFA Europa Conference League,RW,Forward,24,459,1,93,92,87,45
Andreas Ulmer,AUT,RB Salzburg,UEFA Champions League,LB,Defender,38,218,1,40,64,42,52
Andrei Ratiu,ROU,Rayo Vallecano,Spanish La Liga,RB,Defender,25,630,1,46,62,86,23
Andrej Ilic,SRB,Lille,French Ligue 1,AM,Forward,24,9,1,22,13,6,11
Andrej Kramarić,CRO,Hoffenheim,German Bundesliga,AM,Forward,32,2199,1,86,82,66,39
Andrej Đurić,MNE,Spartak Trnava,UEFA Europa Conference League,CB,Defender,20,260,1,31,17,13,40
Andres Dumitrescu,ROU,Slavia Prague,UEFA Europa League,WB,Midfielder,22,330,1,39,52,39,43
Andres Sfait,ROU,Salernitana,Italian Serie A,CM,Midfielder,19,23,1,48,48,49,49
Andrew Hjulsager,DEN,Gent,UEFA Europa Conference League,WB,Midfielder,28,130,1,37,92,72,91
Andrew Omobamidele,IRL,Nott'ham Forest,English Premier League,CB,Defender,21,783,1,30,20,11,32
Andrew Robertson,SCO,Liverpool,"English Premier League, UEFA Europa League",LB,Defender,30,1996,1,90,93,78,48
